Size;Rsquared
32;0.486714696
32;0.486714696
32;0.486714696
32;0.486714696
32;0.486714696
64;0.726471377
64;0.670663079
64;0.722523955
64;0.724270143
64;0.717322856
128;0.745942459
128;0.748896218
128;0.743417299
128;0.738737476
128;0.732665784
224;0.878237785
224;0.813962384
224;0.828681906
224;0.832257637
224;0.829116149
256;0.790775008
256;0.791853094
256;0.757553237
256;0.806804225
256;0.768410836
512;0.784881556
512;0.813896981
512;0.842211747
512;0.805291483
512;0.827383367