"name","elo_score"
"Abalistes_stellatus_A_2",1507.302
"Abudefduf_sordidus_A_3",1368.123
"Acanthaluteres_vittiger_F_1",1450.77
"Acanthochromis_polyacanthus_J_1",1323.749
"Acanthopagrus_latus_A_1",1207.978
"Acanthurus_albipectoralis_A_1",1469.22
"Acanthurus_bahianus_A_1",1799.596
"Acanthurus_blochii_A_1",1671.735
"Acanthurus_coeruleus_A_1",1803.3
"Acanthurus_grammoptilus_A_2",1481.616
"Acanthurus_leucocheilus_A_1",1568.44
"Acanthurus_leucopareius_A_1",1358.129
"Acanthurus_leucosternon_A_2",1870.045
"Acanthurus_mata_A_1",1657.074
"Acanthurus_nigrofuscus_A_3",1548.202
"Acanthurus_nigroris_A_3",1359.632
"Acanthurus_olivaceus_J_1",1664.034
"Acanthurus_tennentii_A_1",1545.285
"Acanthurus_thompsoni_A_2",1269.924
"Acanthurus_triostegus_A_1",1606.832
"Acanthurus_tristis_J_1",1485.826
"Achoerodus_viridis_J_1",1423.605
"Amblyeleotris_steinitzi_A_2",1381.488
"Amblyglyphidodon_aureus_A_2",1656.728
"Amblyglyphidodon_leucogaster_A_2",1374.677
"Amblyglyphidodon_ternatensis_A_2",1602.024
"Amblyglyphidodon_ternatensis_J_1",1608.31
"Amblygobius_decussatus_A_2",1435.186
"Amphiprion_chrysopterus_A_1",1768.938
"Anampses_femininus_F_1",1684.732
"Anampses_neoguinaicus_J_1",1388.166
"Anisotremus_taeniatus_J_1",1515.865
"Arothron_mappa_A_1",1595.111
"Arothron_meleagris_A_2",1463.912
"Arothron_stellatus_A_1",1538.559
"Aspidontus_taeniatus_A_1",1531.182
"Atypichthys_latus_A_1",1570.879
"Axoclinus_multicinctus_A_3",1340.889
"Balistapus_undulatus_A_1",1656.672
"Balistes_capriscus_A_1",1642.419
"Balistes_punctatus_A_2",1715.094
"Balistoides_viridescens_A_1",1498.509
"Belonoperca_chabanaudi_A_2",1555.189
"Bodianus_anthioides_A_2",1612.617
"Bodianus_axillaris_A_2",1512.373
"Bodianus_axillaris_A_3",1494.965
"Bodianus_axillaris_J_1",1600.68
"Bodianus_mesothorax_A_1",1547.588
"Bolbometopon_muricatum_A_1",1402.09
"Calamus_bajonado_A_2",1261.627
"Calamus_brachysomus_A_1",1263.649
"Cantherhines_dumerilii_J_1",1507.549
"Canthidermis_maculata_A_1",1476.353
"Canthigaster_figueiredoi_A_1",1392.747
"Carangoides_fulvoguttatus_A_2",1285.412
"Centropyge_flavissima_A_1",1638.781
"Centropyge_nox_A_2",1356.991
"Centropyge_tibicen_A_1",1452.867
"Cephalopholis_argus_A_3",1539.878
"Cephalopholis_cruentata_A_1",1497.335
"Cephalopholis_sonnerati_A_1",1679.867
"Cephalopholis_sonnerati_J_1",1462.165
"Cephalopholis_spiloparaea_A_1",1338.809
"Chaetodipterus_zonatus_A_1",1524.523
"Chaetodon_adiergastos_A_1",1684.281
"Chaetodon_auriga_A_1",1665.87
"Chaetodon_austriacus_A_1",1735.657
"Chaetodon_flavirostris_A_1",1732.255
"Chaetodon_melannotus_A_1",1709.543
"Chaetodon_miliaris_A_1",1665.795
"Chaetodon_multicinctus_A_1",1617.685
"Chaetodon_octofasciatus_A_1",1645.125
"Chaetodon_pelewensis_A_1",1702.764
"Chaetodon_punctatofasciatus_A_1",1707.255
"Chaetodon_punctatofasciatus_J_1",1614.169
"Chaetodon_rafflesii_A_1",1769.615
"Chaetodon_triangulum_A_1",1621.782
"Chanos_chanos_A_1",1275.309
"Cheilinus_trilobatus_A_1",1369.022
"Cheilinus_trilobatus_A_2",1472.244
"Cheilodactylus_gibbosus_A_3",1586.305
"Cheilodipterus_lachneri_A_1",1363.862
"Cheiloprion_labiatus_J_2",1670.093
"Chilomycterus_antennatus_A_1",1487.369
"Chlorurus_bowersi_A_1",1809.379
"Chlorurus_gibbus_M_1",1679.934
"Chlorurus_gibbus_M_2",1692.04
"Chlorurus_microrhinos_M_3",1680.686
"Chlorurus_rhakoura_A_2",1348.568
"Chlorurus_sordidus_M_1",1650.658
"Choerodon_anchorago_M_1",1503.162
"Chromis_chrysura_A_2",1410.215
"Chromis_fumea_A_2",1325.786
"Chromis_iomelas_A_2",1546.405
"Chromis_nitida_A_1",1427.545
"Chromis_nitida_A_2",1578.073
"Chromis_ternatensis_A_2",1277.021
"Chromis_viridis_M_1",1536.9
"Chromis_weberi_A_2",1220.681
"Chrysiptera_starcki_A_2",1655.163
"Cirrhitus_rivulatus_J_1",1612.627
"Cirripectes_castaneus_A_1",1365.862
"Cirripectes_stigmaticus_A_3",1438.721
"Clepticus_parrae_A_3",1524.24
"Coris_aygula_J_2",1548.243
"Coris_batuensis_A_1",1566.772
"Coris_bulbifrons_M_1",1362.434
"Coris_roseoviridis_F_1",1534.339
"Cromileptes_altivelis_A_2",1622.68
"Ctenochaetus_flavicauda_J_1",1576.084
"Ctenochaetus_marginatus_A_2",1711.192
"Ctenochaetus_tominiensis_A_1",1543.259
"Ctenochaetus_tominiensis_A_2",1601.206
"Cyprinocirrhites_polyactis_A_1",1437.983
"Dascyllus_aruanus_A_1",1674.374
"Dascyllus_melanurus_A_1",1657.171
"Dascyllus_melanurus_A_2",1568.174
"Dascyllus_reticulatus_A_2",1447.626
"Dascyllus_trimaculatus_J_2",1641.278
"Decapterus_macarellus_A_1",1192.697
"Dendrochirus_zebra_A_2",1779.138
"Diodon_hystrix_A_1",1377.386
"Diploprion_bifasciatum_A_3",1565.969
"Echeneis_naucrates_A_1",1483.53
"Ecsenius_bicolor_A_1",1427.647
"Eleotrica_cableae_A_1",1401.273
"Epinephelus_akaara_A_2",1519.864
"Epinephelus_albomarginatus_A_1",1306.261
"Epinephelus_areolatus_A_2",1470.366
"Epinephelus_bleekeri_A_2",1328.655
"Epinephelus_coeruleopunctatus_A_1",1374.778
"Epinephelus_cyanopodus_A_1",1566.635
"Epinephelus_cyanopodus_A_2",1491.322
"Epinephelus_hexagonatus_A_1",1519.776
"Epinephelus_labriformis_A_1",1501.204
"Epinephelus_macrospilos_A_1",1663.161
"Epinephelus_marginatus_A_1",1263.767
"Epinephelus_ongus_A_2",1336.506
"Epinephelus_ongus_A_3",1372.022
"Eubalichthys_caeruleoguttatus_M_1",1461.454
"Exallias_brevis_A_2",1707.781
"Genicanthus_caudovittatus_F_1",1509.839
"Genicanthus_lamarck_M_1",1461.595
"Gerres_subfasciatus_A_1",1230.421
"Gerres_subfasciatus_A_2",1088.672
"Gnathodentex_aureolineatus_A_1",1379.356
"Gobiodon_okinawae_A_1",1544.355
"Gobiodon_okinawae_A_2",1563.876
"Gobiosoma_hildebrandi_M_1",1153.981
"Gomphosus_caeruleus_M_1",1550.686
"Grammatorcynus_bilineatus_A_1",1258.718
"Haemulon_album_A_1",1180.154
"Haemulon_aurolineatum_A_1",1268.532
"Haemulon_parra_A_1",1299.234
"Haemulon_scudderii_A_2",1225.91
"Halichoeres_chierchiae_M_1",1561.836
"Halichoeres_chloropterus_J_3",1546.389
"Halichoeres_chrysus_F_1",1428.286
"Halichoeres_chrysus_F_2",1541.469
"Halichoeres_dimidiatus_A_1",1521.908
"Halichoeres_garnoti_F_1",1387.443
"Halichoeres_garnoti_F_2",1488.101
"Halichoeres_hortulanus_F_2",1627.092
"Halichoeres_hortulanus_J_1",1396.859
"Halichoeres_maculipinna_F_1",1526.888
"Halichoeres_margaritaceus_M_2",1422.386
"Halichoeres_marginatus_M_1",1727.561
"Halichoeres_nebulosus_J_2",1315.142
"Halichoeres_notospilus_A_1",1467.811
"Halichoeres_ornatissimus_F_1",1666.569
"Hemitaurichthys_thompsoni_A_1",1200.56
"Hemitaurichthys_zoster_A_1",1594.987
"Heniochus_chrysostomus_A_1",1633.786
"Hipposcarus_harid_M_1",1614.529
"Holacanthus_bermudensis_J_1",1785.541
"Holacanthus_ciliaris_A_1",1775.175
"Hologymnosus_doliatus_M_2",1651.791
"Hypoplectrus_unicolor_A_1",1444.538
"Iniistius_pavo_J_1",1429.595
"Kyphosus_ocyurus_A_1",1389.235
"Labrichthys_unilineatus_F_1",1571.588
"Labrichthys_unilineatus_M_1",1588.669
"Labroides_dimidiatus_A_1",1400.206
"Labroides_dimidiatus_J_1",1589.094
"Labroides_pectoralis_A_1",1413.67
"Labroides_phthirophagus_A_1",1562.25
"Labropsis_australis_J_1",1492.496
"Labropsis_manabei_J_1",1458.743
"Larabicus_quadrilineatus_M_1",1423.353
"Lutjanus_analis_A_1",1256.665
"Lutjanus_argentiventris_A_1",1479.429
"Lutjanus_bohar_A_1",1305.652
"Lutjanus_griseus_A_1",1176.548
"Lutjanus_lutjanus_A_2",1300.395
"Lutjanus_monostigma_A_1",1398.577
"Lutjanus_semicinctus_A_1",1358.139
"Macolor_macularis_A_2",1567.704
"Macolor_niger_J_1",1741.701
"Macropharyngodon_meleagris_F_1",1789.862
"Macropharyngodon_meleagris_M_2",1730.649
"Macropharyngodon_negrosensis_M_1",1580.597
"Melichthys_indicus_A_1",1645.699
"Melichthys_niger_A_1",1518.764
"Meuschenia_galii_A_3",1480.745
"Meuschenia_trachylepis_A_3",1410.281
"Monodactylus_argenteus_A_2",1443.661
"Monotaxis_grandoculis_A_1",1227.256
"Mycteroperca_fusca_A_1",1379.139
"Mycteroperca_fusca_A_2",1317.012
"Mycteroperca_jordani_A_1",1404.119
"Mycteroperca_olfax_A_1",1313.332
"Myripristis_adusta_A_2",1412.646
"Myripristis_violacea_A_1",1346.991
"Naso_brachycentron_F_1",1253.212
"Naso_brevirostris_J_1",1430.577
"Naso_caesius_A_2",1307.905
"Neoglyphidodon_carlsoni_A_1",1382.014
"Neoglyphidodon_nigroris_J_1",1656.331
"Notocirrhitus_splendens_A_2",1490.543
"Omobranchus_aurosplendidus_A_2",1411.848
"Omobranchus_smithi_A_1",1385.578
"Ophthalmolepis_lineolata_M_1",1608.987
"Ostorhinchus_aureus_A_3",1353.585
"Ostracion_meleagris_A_1",1700.941
"Ostracion_meleagris_A_2",1819.248
"Oxycheilinus_bimaculatus_F_1",1408.734
"Oxycheilinus_digramma_A_1",1389.904
"Oxycheilinus_unifasciatus_J_1",1299.691
"Paradiancistrus_cuyoensis_A_1",1210.763
"Parupeneus_crassilabris_A_1",1350.366
"Parupeneus_cyclostomus_A_3",1424.685
"Parupeneus_pleurostigma_A_1",1423.956
"Pempheris_schomburgkii_A_1",1271.976
"Pentapodus_vitta_A_1",1564.995
"Pervagor_marginalis_A_2",1550.27
"Pictilabrus_laticlavius_F_2",1321.724
"Plagiotremus_rhinorhynchos_A_2",1678.246
"Platax_batavianus_A_1",1544.204
"Platax_boersii_A_1",1332.903
"Platax_orbicularis_A_1",1544.9
"Platax_teira_A_1",1629.18
"Plectorhinchus_albovittatus_A_2",1294.053
"Plectorhinchus_albovittatus_A_3",1294.306
"Plectorhinchus_chaetodonoides_J_1",1740.424
"Plectorhinchus_lessonii_J_1",1510.349
"Plectorhinchus_polytaenia_A_2",1748.701
"Plectorhinchus_vittatus_J_1",1648.549
"Plectroglyphidodon_dickii_J_2",1518.187
"Plectropomus_laevis_A_3",1422.724
"Pomacanthus_arcuatus_A_2",1594.548
"Pomacanthus_imperator_J_1",1907.647
"Pomacanthus_imperator_J_2",1902.425
"Pomacanthus_paru_J_1",1773.116
"Pomacanthus_sexstriatus_A_1",1754.273
"Pomacanthus_xanthometopon_A_1",1766.773
"Pomacanthus_xanthometopon_A_2",1702.858
"Pomacanthus_zonipectus_A_1",1600.387
"Pomacentrus_amboinensis_A_4",1467.976
"Pomacentrus_bankanensis_A_2",1642.662
"Pomacentrus_imitator_A_1",1397.886
"Pomacentrus_simsiang_J_1",1770.873
"Pomacentrus_wardi_A_2",1168.869
"Pristiapogon_kallopterus_A_3",1432.017
"Pseudanthias_bicolor_F_1",1511.263
"Pseudanthias_evansi_A_1",1578.553
"Pseudanthias_huchtii_F_1",1551.432
"Pseudanthias_huchtii_M_1",1507.525
"Pseudanthias_hypselosoma_M_2",1531.733
"Pseudobalistes_flavimarginatus_J_1",1459.007
"Pseudocheilinus_hexataenia_A_1",1739.176
"Pseudochromis_fuscus_A_2",1583.003
"Pseudojuloides_atavai_M_2",1519.066
"Ptereleotris_heteroptera_A_1",1476.152
"Ptereleotris_microlepis_A_1",1571.733
"Pterocaesio_pisang_A_2",1280.537
"Pterocaesio_tile_A_1",1374.061
"Pygoplites_diacanthus_A_1",1758.132
"Pygoplites_diacanthus_J_1",1690.571
"Pygoplites_diacanthus_J_3",1892.48
"Rhabdamia_gracilis_A_2",1365.33
"Salarias_fasciatus_A_1",1397.647
"Sargocentron_diadema_A_1",1527.792
"Scarus_altipinnis_F_1",1324.795
"Scarus_altipinnis_M_1",1578.503
"Scarus_chameleon_F_1",1392.56
"Scarus_chameleon_M_1",1695.323
"Scarus_fuscopurpureus_M_1",1559.883
"Scarus_globiceps_F_1",1190.348
"Scarus_iseri_F_1",1367.464
"Scarus_longipinnis_F_1",1224.087
"Scarus_niger_J_1",1344.241
"Scarus_psittacus_M_2",1609.085
"Scarus_quoyi_M_1",1653.479
"Scarus_quoyi_M_3",1696.993
"Scarus_schlegeli_M_1",1649.621
"Scarus_spinus_M_2",1704.324
"Scarus_taeniopterus_M_2",1681.466
"Scarus_tricolor_M_1",1594.705
"Scarus_trispinosus_A_1",1218.158
"Scarus_vetula_M_1",1721.458
"Scarus_zelindae_M_2",1560.088
"Scolopsis_aurata_A_1",1435.882
"Scolopsis_trilineata_A_1",1284.62
"Scolopsis_xenochrous_A_2",1403.888
"Scorpaena_ascensionis_A_1",1488.531
"Semicossyphus_pulcher_A_2",1384.332
"Seriola_dumerili_A_2",1287.705
"Seriola_lalandi_A_2",1102.799
"Siganus_corallinus_A_2",1636.002
"Siganus_puelloides_A_2",1410.878
"Siganus_stellatus_A_1",1568.419
"Sparisoma_amplum_F_1",1408.622
"Sparisoma_chrysopterum_M_2",1496.557
"Sparisoma_viride_M_1",1632.331
"Sphoeroides_annulatus_A_3",1463.893
"Sphyraena_ensis_A_1",1168.995
"Sphyraena_putnamae_A_2",1291.775
"Stegastes_fasciolatus_A_1",1322.639
"Stegastes_fasciolatus_A_2",1353.797
"Stegastes_punctatus_A_2",1442.923
"Stethojulis_albovittata_M_1",1488.49
"Stethojulis_trilineata_M_2",1737.411
"Sufflamen_chrysopterum_A_1",1458.587
"Symphorichthys_spilurus_A_2",1694.765
"Symphorus_nematophorus_A_2",1734.385
"Synchiropus_splendidus_A_2",1886.69
"Thalassoma_amblycephalum_M_1",1295.379
"Thalassoma_grammaticum_A_1",1620.495
"Thalassoma_grammaticum_A_2",1625.857
"Thalassoma_hebraicum_M_1",1825.02
"Thalassoma_jansenii_M_1",1568.569
"Thalassoma_lunare_F_1",1379.522
"Thalassoma_quinquevittatum_M_3",1587.893
"Thalassoma_septemfasciatum_F_1",1307.113
"Thalassoma_trilobatum_M_2",1602.156
"Trachinotus_rhodopus_J_1",1347.211
"Trachurus_trachurus_A_2",1141.079
"Trachypoma_macracanthus_A_2",1438.873
"Upeneus_moluccensis_A_1",1328.111
"Variola_louti_J_1",1524.267
"Xanthichthys_mento_A_2",1624.111
"Zebrasoma_desjardinii_J_1",1898.582
"Zebrasoma_rostratum_A_2",1594.589
"Zebrasoma_scopas_A_1",1704.485
"Zebrasoma_xanthurum_A_1",1767.609
